Date,Open,High,Low,Close,Adj Close,Volume
2016-11-11,15400.000000,15650.000000,15191.000000,15285.799805,15285.799805,3660
2016-11-14,15160.299805,15160.299805,14837.000000,14859.500000,14859.500000,7819
2016-11-15,14883.900391,15200.000000,14883.900391,15050.000000,15050.000000,7230
2016-11-16,15200.000000,15220.000000,15090.000000,15110.099609,15110.099609,7156
2016-11-17,15210.000000,15423.000000,15170.000000,15405.099609,15405.099609,994
2016-11-18,15535.200195,15760.000000,15459.400391,15714.599609,15714.599609,43163
2016-11-22,15714.599609,16238.400391,15714.599609,16154.799805,16154.799805,6653
2016-11-23,16155.000000,16155.000000,15999.000000,16101.000000,16101.000000,804
2016-11-24,16104.000000,16104.000000,16050.000000,16101.000000,16101.000000,12
2016-11-25,16172.799805,16200.000000,16082.000000,16082.000000,16082.000000,1130
2016-11-28,15815.000000,15860.000000,15728.400391,15832.099609,15832.099609,2386
2016-11-29,15835.200195,15837.000000,15734.000000,15734.000000,15734.000000,916
2016-11-30,15735.000000,15787.400391,15397.400391,15490.900391,15490.900391,2628
2016-12-01,15351.000000,15430.000000,15336.000000,15430.000000,15430.000000,1251
2016-12-02,15347.900391,15347.900391,15270.000000,15285.000000,15285.000000,409
2016-12-05,15500.000000,15670.000000,15500.000000,15667.500000,15667.500000,3796
2016-12-06,15548.000000,15685.000000,15463.000000,15577.599609,15577.599609,1460
2016-12-07,15374.799805,15671.000000,15374.799805,15665.099609,15665.099609,5145
2016-12-08,15727.000000,15740.000000,15595.000000,15596.000000,15596.000000,479
2016-12-09,15665.000000,15675.000000,15590.000000,15674.799805,15674.799805,1545
2016-12-13,15674.799805,15850.000000,15484.000000,15780.000000,15780.000000,5841
2016-12-14,15780.000000,15800.000000,15550.000000,15796.000000,15796.000000,1277
2016-12-15,15700.000000,15860.000000,15491.500000,15537.700195,15537.700195,7792
2016-12-16,15500.000000,15574.599609,15445.000000,15499.400391,15499.400391,7455
2016-12-19,15500.000000,15722.000000,15500.000000,15600.000000,15600.000000,531
2016-12-20,15720.000000,15815.000000,15720.000000,15812.400391,15812.400391,2696
2016-12-21,15845.000000,15845.000000,15700.000000,15832.000000,15832.000000,762
2016-12-22,15940.000000,15954.299805,15790.500000,15891.400391,15891.400391,863
2016-12-23,15800.000000,15800.000000,15669.000000,15685.099609,15685.099609,568
2016-12-26,15685.099609,15685.099609,15685.099609,15685.099609,15685.099609,10
2016-12-27,15771.200195,16068.099609,15771.200195,16032.000000,16032.000000,1084
2016-12-28,16100.000000,16142.000000,15992.000000,16040.000000,16040.000000,1351
2016-12-29,16040.000000,16040.000000,15738.900391,15848.500000,15848.500000,429
2016-12-30,15773.000000,15773.000000,15458.000000,15526.000000,15526.000000,750
2017-01-02,15500.000000,15700.000000,15500.000000,15526.000000,15526.000000,22
2017-01-03,15731.400391,15833.000000,15635.000000,15833.000000,15833.000000,963
2017-01-04,16113.000000,16500.000000,16113.000000,16363.599609,16363.599609,2039
2017-01-05,16356.500000,16769.000000,16225.000000,16756.900391,16756.900391,6393
2017-01-06,16769.000000,16999.000000,16713.300781,16962.300781,16962.300781,2708
2017-01-09,17000.000000,17071.900391,16850.000000,17041.800781,17041.800781,1124
2017-01-10,17196.000000,17370.000000,17090.000000,17352.599609,17352.599609,1547
2017-01-11,17293.099609,17536.000000,17293.099609,17488.599609,17488.599609,5452
2017-01-12,17497.699219,17799.000000,17337.900391,17777.800781,17777.800781,7540
2017-01-13,17770.000000,17770.000000,17560.000000,17611.300781,17611.300781,9444
2017-01-16,17700.000000,17700.000000,17700.000000,17700.000000,17700.000000,16
2017-01-17,17500.000000,17754.000000,17385.000000,17423.500000,17423.500000,4224
2017-01-18,17617.800781,17756.000000,17600.000000,17745.000000,17745.000000,2666
2017-01-19,17805.099609,17805.099609,17715.500000,17768.000000,17768.000000,2005
2017-01-20,17800.000000,17800.000000,17445.000000,17457.400391,17457.400391,1613
2017-01-23,17457.400391,17500.000000,17400.000000,17474.000000,17474.000000,595
2017-01-24,17433.300781,17680.000000,17395.000000,17649.000000,17649.000000,4758
2017-01-25,17804.000000,17850.000000,17619.000000,17619.000000,17619.000000,2200
2017-01-26,17694.000000,17895.000000,17660.000000,17693.300781,17693.300781,848
2017-01-27,17693.300781,17693.300781,17415.000000,17439.000000,17439.000000,4374
2017-01-30,17063.000000,17395.000000,17000.000000,17247.900391,17247.900391,709
2017-01-31,17110.000000,17140.000000,17042.500000,17130.000000,17130.000000,2373
2017-02-01,17280.000000,17290.000000,17130.000000,17290.000000,17290.000000,1204
2017-02-02,17130.000000,17340.000000,17130.000000,17274.900391,17274.900391,4504
2017-02-03,16700.000000,16700.000000,16400.000000,16459.000000,16459.000000,9881
2017-02-07,16459.000000,16850.000000,16459.000000,16715.000000,16715.000000,2813
2017-02-08,16771.000000,16830.000000,16749.300781,16812.000000,16812.000000,2245
2017-02-09,16809.000000,16835.000000,16760.000000,16760.000000,16760.000000,5010
2017-02-10,16822.000000,16840.000000,16811.000000,16820.000000,16820.000000,493
2017-02-13,16991.000000,17115.000000,16980.000000,17056.000000,17056.000000,1149
2017-02-14,16941.800781,17100.000000,16922.000000,16930.800781,16930.800781,1303
2017-02-15,17123.000000,17185.000000,17020.000000,17066.099609,17066.099609,1185
2017-02-16,17103.000000,17187.000000,17103.000000,17186.599609,17186.599609,701
2017-02-17,17300.000000,17330.000000,17245.000000,17276.000000,17276.000000,43940
2017-02-20,17762.000000,17762.000000,17276.000000,17276.000000,17276.000000,7
2017-02-21,17435.000000,17538.099609,17085.000000,17207.900391,17207.900391,5340
2017-02-22,17085.000000,17155.000000,16989.500000,17028.199219,17028.199219,4088
2017-02-23,17000.000000,17000.000000,16650.000000,16760.000000,16760.000000,407
2017-02-24,16671.000000,16788.000000,16580.000000,16768.199219,16768.199219,790
2017-02-27,16870.699219,16950.699219,16843.000000,16909.000000,16909.000000,226
2017-02-28,16959.000000,17027.000000,16880.000000,16932.000000,16932.000000,1123
2017-03-01,17050.000000,17050.000000,16900.000000,16911.099609,16911.099609,1616
2017-03-02,16911.099609,17000.000000,16911.099609,17000.000000,17000.000000,1231
2017-03-03,16678.000000,16691.500000,16600.000000,16602.199219,16602.199219,972
2017-03-06,16500.000000,16580.000000,16435.000000,16580.000000,16580.000000,870
2017-03-07,16525.000000,16525.000000,16400.000000,16425.000000,16425.000000,207
2017-03-08,16683.000000,16726.199219,16663.000000,16726.199219,16726.199219,2534
2017-03-09,16918.000000,16971.000000,16887.800781,16900.000000,16900.000000,318
2017-03-10,16779.599609,16780.000000,16732.000000,16732.000000,16732.000000,487
2017-03-13,16750.000000,16762.599609,16692.599609,16744.900391,16744.900391,605
2017-03-14,16680.000000,16806.000000,16680.000000,16776.400391,16776.400391,681
2017-03-15,16510.000000,16769.000000,16400.000000,16400.000000,16400.000000,237
2017-03-16,16300.000000,16400.000000,16300.000000,16400.000000,16400.000000,974
2017-03-17,16400.000000,16400.000000,16259.000000,16275.000000,16275.000000,751
2017-03-21,16275.000000,16327.000000,16100.000000,16112.900391,16112.900391,207
2017-03-22,16092.000000,16176.000000,16080.000000,16153.000000,16153.000000,306
2017-03-23,16112.000000,16189.000000,16047.000000,16049.500000,16049.500000,752
2017-03-24,16019.000000,16034.000000,15855.000000,15855.000000,15855.000000,276
2017-03-27,15902.799805,16002.000000,15875.000000,15989.200195,15989.200195,4757
2017-03-28,16140.000000,16300.000000,16104.000000,16277.000000,16277.000000,2803
2017-03-29,16200.000000,16426.000000,16200.000000,16426.000000,16426.000000,1074
2017-03-30,16426.000000,16426.000000,16282.000000,16385.000000,16385.000000,626
2017-03-31,16614.000000,16760.000000,16614.000000,16645.900391,16645.900391,3288
2017-04-03,16600.000000,16757.000000,16600.000000,16757.000000,16757.000000,324
2017-04-04,17000.000000,17099.000000,16838.400391,17050.000000,17050.000000,1605
2017-04-05,17100.000000,17300.000000,17000.000000,17094.199219,17094.199219,1285
2017-04-06,17000.000000,17090.000000,16760.800781,16810.000000,16810.000000,1247
2017-04-07,16950.000000,16950.000000,16351.000000,16740.000000,16740.000000,1083
2017-04-10,16935.000000,17000.000000,16886.000000,16886.000000,16886.000000,184
2017-04-11,16982.000000,17000.000000,16900.000000,16900.000000,16900.000000,249
2017-04-12,16910.000000,16915.000000,16700.000000,16700.000000,16700.000000,296
2017-04-17,16700.000000,16700.000000,16576.000000,16684.699219,16684.699219,672
2017-04-18,16704.000000,16999.000000,16698.199219,16744.000000,16744.000000,366
2017-04-19,16990.000000,17115.000000,16915.000000,16915.000000,16915.000000,1277
2017-04-20,16885.000000,17060.000000,16885.000000,17000.000000,17000.000000,5568
2017-04-21,16902.900391,16965.000000,16900.000000,16900.000000,16900.000000,605
2017-04-24,16900.000000,17027.000000,16895.000000,17027.000000,17027.000000,357
2017-04-25,17190.000000,17245.000000,17115.000000,17141.000000,17141.000000,789
2017-04-26,17250.000000,17596.000000,17250.000000,17515.000000,17515.000000,6567
2017-04-27,17464.500000,17633.800781,17464.500000,17496.300781,17496.300781,1711
2017-04-28,18000.000000,18010.000000,17416.000000,17425.599609,17425.599609,10266
2017-05-02,17425.599609,17825.000000,17357.199219,17766.099609,17766.099609,2558
2017-05-03,17707.000000,17720.900391,17630.199219,17712.000000,17712.000000,4695
2017-05-04,17825.000000,17902.000000,17725.400391,17857.000000,17857.000000,1918
2017-05-05,17857.000000,17857.000000,17681.199219,17709.400391,17709.400391,804
2017-05-08,17960.000000,18145.000000,17915.000000,18145.000000,18145.000000,2527
2017-05-09,18300.000000,18360.000000,18263.000000,18269.800781,18269.800781,1239
2017-05-10,18055.699219,18073.300781,17981.800781,18010.199219,18010.199219,908
2017-05-11,17941.599609,17941.599609,17813.500000,17848.500000,17848.500000,1397
2017-05-12,17904.000000,18066.000000,17904.000000,18058.599609,18058.599609,12907
2017-05-15,17963.500000,17974.000000,17864.500000,17872.000000,17872.000000,1282
2017-05-16,17951.099609,18040.199219,17940.199219,17999.199219,17999.199219,692
2017-05-17,18000.000000,18000.000000,17692.000000,17724.500000,17724.500000,4568
2017-05-18,17999.000000,18143.199219,17999.000000,18095.000000,18095.000000,1601
2017-05-19,18053.000000,18125.800781,17997.500000,17997.500000,17997.500000,1071
2017-05-22,18050.000000,18120.000000,18016.000000,18094.099609,18094.099609,1367
2017-05-23,18100.000000,18140.000000,18020.099609,18099.300781,18099.300781,1045
2017-05-24,18100.000000,18200.000000,18038.800781,18200.000000,18200.000000,6161
